name	fips
volusia county	12119
wakulla county	12121
walton county	12123
washington county	12125
appling county	12993
atkinson county	12995
bacon county	12997
baker county	12999
baldwin county	13001
banks county	13003
barrow county	13005
bartow county	13007
ben hill county	13009
berrien county	13011
bibb county	13013
bleckley county	13015
brantley county	13017
brooks county	13019
bryan county	13021
bulloch county	13023
burke county	13025
butts county	13027
calhoun county	13029
camden county	13031
candler county	13035
carroll county	13037
catoosa county	13039
charlton county	13041
chatham county	13043
chattahoochee county	13045
chattooga county	13047
cherokee county	13049
clarke county	13051
clay county	13053
clayton county	13055
clinch county	13057
cobb county	13059
coffee county	13061
colquitt county	13063
columbia county	13065
cook county	13067
coweta county	13069
crawford county	13071
crisp county	13073
dade county	13075
dawson county	13077
decatur county	13079
dekalb county	13081
dodge county	13083
dooly county	13085
dougherty county	13087
douglas county	13089
early county	13091
echols county	13093
effingham county	13095
elbert county	13097
emanuel county	13099
evans county	13101
fannin county	13103
fayette county	13105
floyd county	13107
forsyth county	13109
franklin county	13111
fulton county	13113
gilmer county	13115
glascock county	13117
glynn county	13119
gordon county	13121
grady county	13123
greene county	13125
gwinnett county	13127
habersham county	13129
hall county	13131
hancock county	13133
haralson county	13135
harris county	13137
hart county	13139
heard county	13141
henry county	13143
houston county	13145
irwin county	13147
jackson county	13149
jasper county	13151
jeff davis county	13153
jefferson county	13155
jenkins county	13157
johnson county	13159
jones county	13161
lamar county	13163
lanier county	13165
laurens county	13167
lee county	13169
liberty county	13171
lincoln county	13173
long county	13175
lowndes county	13177
lumpkin county	13179
mcduffie county	13181
mcintosh county	13183
macon county	13185
madison county	13187
marion county	13189
meriwether county	13191
miller county	13193
mitchell county	13197
monroe county	13199
montgomery county	13201
morgan county	13203
murray county	13205
muscogee county	13207
newton county	13209
oconee county	13211
oglethorpe county	13213
paulding county	13215
peach county	13217
pickens county	13219
pierce county	13221
pike county	13223
polk county	13225
pulaski county	13227
putnam county	13229
quitman county	13231
rabun county	13233
randolph county	13235
richmond county	13237
rockdale county	13239
schley county	13241
screven county	13243
seminole county	13245
spalding county	13247
stephens county	13249
stewart county	13251
sumter county	13253
talbot county	13255
taliaferro county	13257
tattnall county	13259
taylor county	13261
telfair county	13263
terrell county	13265
thomas county	13267
tift county	13269
toombs county	13271
towns county	13273
treutlen county	13275
troup county	13277
turner county	13279
twiggs county	13281
union county	13283
upson county	13285
walker county	13287
walton county	13289
ware county	13291
warren county	13293
washington county	13295
wayne county	13297
webster county	13299
wheeler county	13301
white county	13303
whitfield county	13305
wilcox county	13307
wilkes county	13309
wilkinson county	13311
worth county	13313
hawaii county	14993
honolulu county	14995
kalawao county	14997
kauai county	14999
maui county	15001
ada county	15993
adams county	15995
bannock county	15997
bear lake county	15999
benewah county	16001
bingham county	16003
blaine county	16005
boise county	16007
bonner county	16009
bonneville county	16011
boundary county	16013
butte county	16015
camas county	16017
canyon county	16019
caribou county	16021
cassia county	16023
clark county	16025
clearwater county	16027
custer county	16029
elmore county	16031
franklin county	16033
fremont county	16035
gem county	16037
gooding county	16039
idaho county	16041
jefferson county	16043
jerome county	16045
kootenai county	16047
latah county	16049
lemhi county	16051
lewis county	16053
lincoln county	16055
madison county	16057
minidoka county	16059
nez perce county	16061
oneida county	16063
owyhee county	16065
payette county	16067
power county	16069
shoshone county	16071
teton county	16073
twin falls county	16075
valley county	16077
washington county	16079
adams county	16993
alexander county	16995
bond county	16997
boone county	16999
brown county	17001
bureau county	17003
calhoun county	17005
carroll county	17007
cass county	17009
champaign county	17011
christian county	17013
clark county	17015
clay county	17017
clinton county	17019
coles county	17021
cook county	17023
crawford county	17025
cumberland county	17027
dekalb county	17029
de witt county	17031
douglas county	17033
dupage county	17035
edgar county	17037
edwards county	17039
effingham county	17041
fayette county	17043
ford county	17045
franklin county	17047
fulton county	17049
gallatin county	17051
greene county	17053
grundy county	17055
hamilton county	17057
hancock county	17059
hardin county	17061
henderson county	17063
henry county	17065
iroquois county	17067
jackson county	17069
jasper county	17071
jefferson county	17073
jersey county	17075
jo daviess county	17077
johnson county	17079
kane county	17081
kankakee county	17083
kendall county	17085
knox county	17087
lake county	17089
lasalle county	17091
lawrence county	17093
lee county	17095
livingston county	17097
logan county	17099
mcdonough county	17101
mchenry county	17103
mclean county	17105
macon county	17107
macoupin county	17109
madison county	17111
marion county	17113
marshall county	17115
mason county	17117
massac county	17119
menard county	17121
mercer county	17123
monroe county	17125
montgomery county	17127
morgan county	17129
moultrie county	17131
ogle county	17133
peoria county	17135
perry county	17137
piatt county	17139
pike county	17141
pope county	17143
pulaski county	17145
putnam county	17147
randolph county	17149
richland county	17151
rock island county	17153
st. clair county	17155
saline county	17157
sangamon county	17159
schuyler county	17161
scott county	17163
shelby county	17165
stark county	17167
stephenson county	17169
tazewell county	17171
union county	17173
vermilion county	17175
