fips	name	fips	name
19027	cherokee county	40013	cherokee county
20013	cherokee county	40013	cherokee county
37031	cherokee county	40013	cherokee county
40013	cherokee county	45013	cherokee county
40013	cherokee county	48065	cherokee county
42021	chester county	47015	chester county
45015	chester county	47015	chester county
1015	choctaw county	28011	choctaw county
1015	choctaw county	40015	choctaw county
17013	christian county	21039	christian county
21039	christian county	29035	christian county
28013	claiborne county	47017	claiborne county
5011	clark county	16025	clark county
5011	clark county	17015	clark county
5011	clark county	20017	clark county
5011	clark county	21041	clark county
5011	clark county	29037	clark county
5011	clark county	46017	clark county
5011	clark county	55011	clark county
16025	clark county	18011	clark county
16025	clark county	31995	clark county
16025	clark county	39015	clark county
16025	clark county	53003	clark county
17015	clark county	18011	clark county
17015	clark county	31995	clark county
17015	clark county	39015	clark county
17015	clark county	53003	clark county
18011	clark county	20017	clark county
18011	clark county	21041	clark county
18011	clark county	29037	clark county
18011	clark county	46017	clark county
18011	clark county	55011	clark county
20017	clark county	31995	clark county
20017	clark county	39015	clark county
20017	clark county	53003	clark county
21041	clark county	31995	clark county
21041	clark county	39015	clark county
21041	clark county	53003	clark county
29037	clark county	31995	clark county
29037	clark county	39015	clark county
29037	clark county	53003	clark county
31995	clark county	46017	clark county
31995	clark county	55011	clark county
39015	clark county	46017	clark county
39015	clark county	55011	clark county
46017	clark county	53003	clark county
53003	clark county	55011	clark county
1019	clay county	5013	clay county
1019	clay county	13053	clay county
1019	clay county	27019	clay county
1019	clay county	28017	clay county
1019	clay county	29039	clay county
1019	clay county	46019	clay county
5013	clay county	12011	clay county
5013	clay county	17017	clay county
5013	clay county	18013	clay county
5013	clay county	19033	clay county
5013	clay county	20019	clay county
5013	clay county	21043	clay county
5013	clay county	31027	clay county
5013	clay county	37035	clay county
5013	clay county	47019	clay county
5013	clay county	48069	clay county
5013	clay county	54007	clay county
12011	clay county	13053	clay county
12011	clay county	27019	clay county
12011	clay county	28017	clay county
12011	clay county	29039	clay county
12011	clay county	46019	clay county
13053	clay county	17017	clay county
13053	clay county	18013	clay county
13053	clay county	19033	clay county
13053	clay county	20019	clay county
13053	clay county	21043	clay county
13053	clay county	31027	clay county
13053	clay county	37035	clay county
13053	clay county	47019	clay county
13053	clay county	48069	clay county
13053	clay county	54007	clay county
17017	clay county	27019	clay county
17017	clay county	28017	clay county
17017	clay county	29039	clay county
17017	clay county	46019	clay county
18013	clay county	27019	clay county
18013	clay county	28017	clay county
18013	clay county	29039	clay county
18013	clay county	46019	clay county
19033	clay county	27019	clay county
19033	clay county	28017	clay county
19033	clay county	29039	clay county
19033	clay county	46019	clay county
20019	clay county	27019	clay county
20019	clay county	28017	clay county
20019	clay county	29039	clay county
20019	clay county	46019	clay county
21043	clay county	27019	clay county
21043	clay county	28017	clay county
21043	clay county	29039	clay county
21043	clay county	46019	clay county
27019	clay county	31027	clay county
27019	clay county	37035	clay county
27019	clay county	47019	clay county
27019	clay county	48069	clay county
27019	clay county	54007	clay county
28017	clay county	31027	clay county
28017	clay county	37035	clay county
28017	clay county	47019	clay county
28017	clay county	48069	clay county
28017	clay county	54007	clay county
29039	clay county	31027	clay county
29039	clay county	37035	clay county
29039	clay county	47019	clay county
29039	clay county	48069	clay county
29039	clay county	54007	clay county
31027	clay county	46019	clay county
37035	clay county	46019	clay county
46019	clay county	47019	clay county
46019	clay county	48069	clay county
46019	clay county	54007	clay county
5017	cleveland county	37037	cleveland county
5017	cleveland county	40019	cleveland county
17019	clinton county	19037	clinton county
17019	clinton county	26029	clinton county
17019	clinton county	36011	clinton county
18015	clinton county	19037	clinton county
18015	clinton county	26029	clinton county
18015	clinton county	36011	clinton county
19037	clinton county	21045	clinton county
19037	clinton county	29041	clinton county
19037	clinton county	39019	clinton county
19037	clinton county	42027	clinton county
21045	clinton county	26029	clinton county
21045	clinton county	36011	clinton county
26029	clinton county	29041	clinton county
26029	clinton county	39019	clinton county
26029	clinton county	42027	clinton county
29041	clinton county	36011	clinton county
36011	clinton county	39019	clinton county
36011	clinton county	42027	clinton county
31029	colfax county	34999	colfax county
5019	columbia county	12015	columbia county
5019	columbia county	13065	columbia county
5019	columbia county	42029	columbia county
5019	columbia county	53005	columbia county
12015	columbia county	36013	columbia county
12015	columbia county	41001	columbia county
12015	columbia county	55013	columbia county
13065	columbia county	36013	columbia county
13065	columbia county	41001	columbia county
13065	columbia county	55013	columbia county
36013	columbia county	42029	columbia county
36013	columbia county	53005	columbia county
41001	columbia county	42029	columbia county
41001	columbia county	53005	columbia county
42029	columbia county	55013	columbia county
53005	columbia county	55013	columbia county
20025	comanche county	40023	comanche county
40023	comanche county	48085	comanche county
13067	cook county	17023	cook county
13067	cook county	27023	cook county
1031	covington county	28023	covington county
5025	crawford county	20029	crawford county
5025	crawford county	55015	crawford county
13071	crawford county	20029	crawford county
13071	crawford county	55015	crawford county
17025	crawford county	20029	crawford county
17025	crawford county	55015	crawford county
18017	crawford county	20029	crawford county
18017	crawford county	55015	crawford county
19039	crawford county	20029	crawford county
19039	crawford county	55015	crawford county
20029	crawford county	26031	crawford county
20029	crawford county	29047	crawford county
20029	crawford county	39025	crawford county
20029	crawford county	42031	crawford county
26031	crawford county	55015	crawford county
29047	crawford county	55015	crawford county
39025	crawford county	55015	crawford county
42031	crawford county	55015	crawford county
5027	crittenden county	21047	crittenden county
17027	cumberland county	22997	cumberland county
17027	cumberland county	34003	cumberland county
17027	cumberland county	37043	cumberland county
17027	cumberland county	42033	cumberland county
17027	cumberland county	51041	cumberland county
21049	cumberland county	22997	cumberland county
21049	cumberland county	34003	cumberland county
21049	cumberland county	37043	cumberland county
21049	cumberland county	42033	cumberland county
21049	cumberland county	51041	cumberland county
22997	cumberland county	47027	cumberland county
34003	cumberland county	47027	cumberland county
37043	cumberland county	47027	cumberland county
42033	cumberland county	47027	cumberland county
47027	cumberland county	51041	cumberland county
35001	curry county	41007	curry county
1039	dallas county	29051	dallas county
5031	dallas county	29051	dallas county
19041	dallas county	29051	dallas county
29051	dallas county	48105	dallas county
37049	davidson county	47029	davidson county
13079	decatur county	18023	decatur county
13079	decatur county	20031	decatur county
13079	decatur county	47031	decatur county
18023	decatur county	19045	decatur county
19045	decatur county	20031	decatur county
19045	decatur county	47031	decatur county
1041	dekalb county	13081	dekalb county
1041	dekalb county	17029	dekalb county
13081	dekalb county	18025	dekalb county
13081	dekalb county	29055	dekalb county
13081	dekalb county	47033	dekalb county
17029	dekalb county	18025	dekalb county
17029	dekalb county	29055	dekalb county
17029	dekalb county	47033	dekalb county
18027	delaware county	40033	delaware county
19047	delaware county	40033	delaware county
36017	delaware county	40033	delaware county
39033	delaware county	40033	delaware county
40033	delaware county	42037	delaware county
8021	delta county	26033	delta county
26033	delta county	48111	delta county
12019	desoto county	28025	desoto county
40035	dewey county	46033	dewey county
13083	dodge county	55019	dodge county
27031	dodge county	55019	dodge county
31045	dodge county	55019	dodge county
8027	douglas county	17033	douglas county
8027	douglas county	27033	douglas county
8027	douglas county	29059	douglas county
8027	douglas county	31997	douglas county
8027	douglas county	41011	douglas county
8027	douglas county	46035	douglas county
13089	douglas county	17033	douglas county
13089	douglas county	27033	douglas county
13089	douglas county	29059	douglas county
13089	douglas county	31997	douglas county
13089	douglas county	41011	douglas county
13089	douglas county	46035	douglas county
17033	douglas county	20037	douglas county
17033	douglas county	31047	douglas county
17033	douglas county	53009	douglas county
17033	douglas county	55023	douglas county
20037	douglas county	27033	douglas county
20037	douglas county	29059	douglas county
20037	douglas county	31997	douglas county
20037	douglas county	41011	douglas county
20037	douglas county	46035	douglas county
27033	douglas county	31047	douglas county
27033	douglas county	53009	douglas county
27033	douglas county	55023	douglas county
29059	douglas county	31047	douglas county
29059	douglas county	53009	douglas county
29059	douglas county	55023	douglas county
31047	douglas county	31997	douglas county
31047	douglas county	41011	douglas county
31047	douglas county	46035	douglas county
31997	douglas county	53009	douglas county
31997	douglas county	55023	douglas county
41011	douglas county	53009	douglas county
41011	douglas county	55023	douglas county
46035	douglas county	53009	douglas county
46035	douglas county	55023	douglas county
38017	dunn county	55025	dunn county
19055	emmet county	26039	emmet county
1045	escambia county	12025	escambia county
1049	fayette county	13105	fayette county
1049	fayette county	19057	fayette county
1049	fayette county	21059	fayette county
1049	fayette county	42043	fayette county
13105	fayette county	17043	fayette county
13105	fayette county	18033	fayette county
13105	fayette county	39039	fayette county
13105	fayette county	47039	fayette county
13105	fayette county	48141	fayette county
13105	fayette county	54011	fayette county
17043	fayette county	19057	fayette county
17043	fayette county	21059	fayette county
17043	fayette county	42043	fayette county
18033	fayette county	19057	fayette county
18033	fayette county	21059	fayette county
18033	fayette county	42043	fayette county
19057	fayette county	39039	fayette county
19057	fayette county	47039	fayette county
19057	fayette county	48141	fayette county
19057	fayette county	54011	fayette county
21059	fayette county	39039	fayette county
21059	fayette county	47039	fayette county
21059	fayette county	48141	fayette county
21059	fayette county	54011	fayette county
39039	fayette county	42043	fayette county
42043	fayette county	47039	fayette county
42043	fayette county	48141	fayette county
42043	fayette county	54011	fayette county
27037	fillmore county	31051	fillmore county
45033	florence county	55029	florence county
13107	floyd county	18035	floyd county
13107	floyd county	19059	floyd county
18035	floyd county	21063	floyd county
18035	floyd county	48145	floyd county
18035	floyd county	51055	floyd county
19059	floyd county	21063	floyd county
19059	floyd county	48145	floyd county
19059	floyd county	51055	floyd county
42045	forest county	55033	forest county
13109	forsyth county	37059	forsyth county
1051	franklin county	21065	franklin county
1051	franklin county	22999	franklin county
1051	franklin county	25003	franklin county
1051	franklin county	28029	franklin county
1051	franklin county	36025	franklin county
1051	franklin county	37061	franklin county
1051	franklin county	39041	franklin county
1051	franklin county	50003	franklin county
1051	franklin county	53013	franklin county
5039	franklin county	21065	franklin county
5039	franklin county	22999	franklin county
5039	franklin county	25003	franklin county
5039	franklin county	28029	franklin county
5039	franklin county	36025	franklin county
5039	franklin county	37061	franklin county
5039	franklin county	39041	franklin county
5039	franklin county	50003	franklin county
5039	franklin county	53013	franklin county
12029	franklin county	21065	franklin county
12029	franklin county	22999	franklin county
12029	franklin county	25003	franklin county
12029	franklin county	28029	franklin county
12029	franklin county	36025	franklin county
12029	franklin county	37061	franklin county
12029	franklin county	39041	franklin county
12029	franklin county	50003	franklin county
12029	franklin county	53013	franklin county
13111	franklin county	21065	franklin county
13111	franklin county	22999	franklin county
13111	franklin county	25003	franklin county
13111	franklin county	28029	franklin county
13111	franklin county	36025	franklin county
13111	franklin county	37061	franklin county
13111	franklin county	39041	franklin county
13111	franklin county	50003	franklin county
13111	franklin county	53013	franklin county
16033	franklin county	21065	franklin county
16033	franklin county	22999	franklin county
16033	franklin county	25003	franklin county
16033	franklin county	28029	franklin county
16033	franklin county	36025	franklin county
16033	franklin county	37061	franklin county
16033	franklin county	39041	franklin county
16033	franklin county	50003	franklin county
16033	franklin county	53013	franklin county
17047	franklin county	21065	franklin county
17047	franklin county	22999	franklin county
17047	franklin county	25003	franklin county
17047	franklin county	28029	franklin county
17047	franklin county	36025	franklin county
17047	franklin county	37061	franklin county
17047	franklin county	39041	franklin county
17047	franklin county	50003	franklin county
17047	franklin county	53013	franklin county
18039	franklin county	21065	franklin county
18039	franklin county	22999	franklin county
18039	franklin county	25003	franklin county
18039	franklin county	28029	franklin county
18039	franklin county	36025	franklin county
18039	franklin county	37061	franklin county
18039	franklin county	39041	franklin county
18039	franklin county	50003	franklin county
18039	franklin county	53013	franklin county
19061	franklin county	21065	franklin county
19061	franklin county	22999	franklin county
19061	franklin county	25003	franklin county
19061	franklin county	28029	franklin county
19061	franklin county	36025	franklin county
19061	franklin county	37061	franklin county
19061	franklin county	39041	franklin county
19061	franklin county	50003	franklin county
19061	franklin county	53013	franklin county
20051	franklin county	21065	franklin county
20051	franklin county	22999	franklin county
20051	franklin county	25003	franklin county
20051	franklin county	28029	franklin county
20051	franklin county	36025	franklin county
20051	franklin county	37061	franklin county
20051	franklin county	39041	franklin county
20051	franklin county	50003	franklin county
20051	franklin county	53013	franklin county
21065	franklin county	29063	franklin county
21065	franklin county	31053	franklin county
21065	franklin county	42047	franklin county
21065	franklin county	47043	franklin county
21065	franklin county	48151	franklin county
21065	franklin county	51059	franklin county
22999	franklin county	29063	franklin county
22999	franklin county	31053	franklin county
22999	franklin county	42047	franklin county
22999	franklin county	47043	franklin county
22999	franklin county	48151	franklin county
22999	franklin county	51059	franklin county
25003	franklin county	29063	franklin county
25003	franklin county	31053	franklin county
25003	franklin county	42047	franklin county
25003	franklin county	47043	franklin county
25003	franklin county	48151	franklin county
25003	franklin county	51059	franklin county
28029	franklin county	29063	franklin county
28029	franklin county	31053	franklin county
28029	franklin county	42047	franklin county
28029	franklin county	47043	franklin county
28029	franklin county	48151	franklin county
28029	franklin county	51059	franklin county
29063	franklin county	36025	franklin county
29063	franklin county	37061	franklin county
29063	franklin county	39041	franklin county
29063	franklin county	50003	franklin county
29063	franklin county	53013	franklin county
31053	franklin county	36025	franklin county
31053	franklin county	37061	franklin county
31053	franklin county	39041	franklin county
31053	franklin county	50003	franklin county
31053	franklin county	53013	franklin county
36025	franklin county	42047	franklin county
36025	franklin county	47043	franklin county
36025	franklin county	48151	franklin county
36025	franklin county	51059	franklin county
37061	franklin county	42047	franklin county
37061	franklin county	47043	franklin county
37061	franklin county	48151	franklin county
37061	franklin county	51059	franklin county
39041	franklin county	42047	franklin county
39041	franklin county	47043	franklin county
39041	franklin county	48151	franklin county
39041	franklin county	51059	franklin county
42047	franklin county	50003	franklin county
42047	franklin county	53013	franklin county
47043	franklin county	50003	franklin county
47043	franklin county	53013	franklin county
48151	franklin county	50003	franklin county
48151	franklin county	53013	franklin county
50003	franklin county	51059	franklin county
51059	franklin county	53013	franklin county
24013	frederick county	51061	frederick county
5041	fulton county	13113	fulton county
5041	fulton county	17049	fulton county
13113	fulton county	18041	fulton county
13113	fulton county	21067	fulton county
13113	fulton county	36027	fulton county
13113	fulton county	39043	fulton county
13113	fulton county	42049	fulton county
17049	fulton county	18041	fulton county
17049	fulton county	21067	fulton county
17049	fulton county	36027	fulton county
17049	fulton county	39043	fulton county
17049	fulton county	42049	fulton county
17051	gallatin county	30023	gallatin county
21069	gallatin county	30023	gallatin county
8037	garfield county	30025	garfield county
8037	garfield county	31063	garfield county
8037	garfield county	40039	garfield county
8037	garfield county	49009	garfield county
8037	garfield county	53015	garfield county
26041	genesee county	36029	genesee county
34007	gloucester county	51065	gloucester county
5045	grant county	27043	grant county
5045	grant county	35009	grant county
5045	grant county	55035	grant county
18045	grant county	27043	grant county
18045	grant county	35009	grant county
18045	grant county	55035	grant county
20059	grant county	27043	grant county
20059	grant county	35009	grant county
20059	grant county	55035	grant county
21073	grant county	27043	grant county
21073	grant county	35009	grant county
21073	grant county	55035	grant county
27043	grant county	31067	grant county
27043	grant county	38029	grant county
27043	grant county	40045	grant county
27043	grant county	41015	grant county
27043	grant county	46043	grant county
27043	grant county	53017	grant county
27043	grant county	54015	grant county
31067	grant county	35009	grant county
31067	grant county	55035	grant county
35009	grant county	38029	grant county
35009	grant county	40045	grant county
35009	grant county	41015	grant county
35009	grant county	46043	grant county
35009	grant county	53017	grant county
35009	grant county	54015	grant county
38029	grant county	55035	grant county
40045	grant county	55035	grant county
41015	grant county	55035	grant county
46043	grant county	55035	grant county
