Name
Announcer
Autobiographer
Booster
Caucus
Citizen Patrol
Civic Duty
Cleanup
code-golf
Commentator
Constituent
Critic
Curious
Custodian
Disciplined
Editor
Enlightened
Enthusiast
Excavator
Famous Question
Fanatic
Good Answer
Good Question
Informed
Lifejacket
Mortarboard
Necromancer
Nice Answer
Nice Question
Notable Question
Organizer
Peer Pressure
Popular Question
Quorum
Revival
Scholar
Sportsmanship
string
Student
Suffrage
Supporter
Talkative
Teacher
Yearling
